Title,Actors,Director
Carolyn Brown,David Van Taylor,Renaissance
Mike Wallace,Renée Taylor,Dans Paris
Nanfu Wang,David Winning,Who Killed the Electric Car?
Bruce Springsteen,Patricia Benoit,Starter for 10
Johnny 'Koolout' Starks,Andrew Stanton(co-director),The Breed
Hong Chau,Barry Cook,Jaan-E-Mann: Let's Fall in Love... Again
Terry Serpico,Steve Hickner,Lights in the Dusk
Peta Murgatroyd,Norton Virgien,Night of the Living Dead 3D
Kathy Griffin,Deborah Kaplan,The Road to Guantanamo
Dale Earnhardt Jr.,Josh Randall,Guadalupe
Amani Ballour,Jason Cilo,Peaceful Warrior
Louise Labeque,Gréta Olafsdóttir,The U.S. vs. John Lennon
Emily Beecham,Lance Weiler,10 Items or Less
Yoshiaki Nishimura,Ash Brannon(co-director),Roméo et Juliette
Gastón Pauls,Eduardo Sánchez,Climates
Pernilla August,Al Giddings,Snow Cake
Yilmaz Erdogan,Scott Anthony Leet,Umrao Jaan
Hannah Pearl Utt,Mastan Alibhai Burmawalla,Blame it on Fidel
Andres Bautista,Luc Dardenne,The Work and the Glory III: A House Divided
Richard Speight Jr.,Kurt Voss,Reprise
Miyu Tomita,Ralph Zondag,Driving Lessons
Lupita Nyong'o,Paul Demeyer,Exiled
Juan Pablo Olyslager,Don Paul,Man About Town
Takanori Hoshino,Elaine Despins,Humko Deewana Kar Gaye
Kate Arrington,Shigeyasu Yamauchi,Red Road
Steve Bannon,Larry Karaszewski,Family Law
Mads Brügger,Randy Barbato,Bamako
Károly Hajduk,Coralie(co-director),Conversations with God
Quentin Tarantino,David Fourier,Jesus Camp
Ben Crenshaw,Jeffrey Friedman,Chup Chup Ke
Joseph Bezenek,Julia Query,The Dead Girl
Lathrop Walker,Frances Reid,The Celestine Prophecy
Theo Rossi,Peter Sillen,Death of a President
Logan Miller,Alan Jacobs(co-director),The Groomsmen
Jake Choi,David Silverman(co-director),Chronicle of an Escape
Juan Barberini,Motonori Sakakibara(co-director),Malamaal Weekly
Jocelyn DeBoer,Jacques Cluzaud(co-director),Another Gay Movie
Esther Greaves,Emmett Malloy,Deep Water
Carlotta Antonelli,David Siegel,Time
Zaheer Iqbal,Jennifer Jason Leigh,Feast
Fer Ochoa,Julien Seri,My First Wedding
Ace Young,Ka-Fai Wai,The Oh in Ohio
Hassan Fazili,Josh Kornbluth,Sleeping Dogs Lie
Katie Appeldorn,Carlos Saldanha(co-director),Summer of '04
Spencer Brown,Chris Sanders,Sherrybaby
Bijan Aalam,Lorna Cook,Klimt
Bill Wyman,Donovan Cook(co-director),12:08 East of Bucharest
Michael Abbott Jr.,Jeff McGrath,Idiocracy
Letizia Battaglia,Kátia Lund(co-director),Dynamite Warrior
Daniel R. Lawson Jr.,Phil Vischer,Beer League
Valerie Pachner,Oxide Chun Pang,Church Ball
Kenny Omega,Steve McNicholas,The Second Chance
Elena Aprile,Joe Russo,London to Brighton
Gabriel Bateman,Louis Pepe,As You Like It
Morena Baccarin,Amir Mann,Offside
Peter Sarsgaard,Maria Burton,Flanders
Cole Allen,Adam Larson Broder,Times and Winds
Christopher Barcia,Joe Gantz,The Quiet
Billy Gibbons,Amy Ziering,American Hardcore
Liam O'Brien,Ben Ramsey,Five Fingers
Robbie Daymond,John Specht,This Film Is Not Yet Rated
John Dugdale,Eric Nadler,Shaadi Se Pehle
Laëtitia Milot,Ngozi Onwurah,Cheech
William Michael Payne,Lee Unkrich(co-director),Deliver Us from Evil
Gene Snisky,Hayato Date,Steve Harvey: Don't Trip... He Ain't Through with Me Yet
Karina Fontes,Robert Walker,Poison Friends
Tewfik Jallab,Robert Pulcini,Belle toujours
Prune Nourry,Ramanjit Juneja,Old Joy
Miko Hughes,Laura Nix,The Wedding Curse
Kitra Cahana,Scott Hillenbrand,Taxi No. 9 2 11: Nau Do Gyarah
François Truffaut,Sunil Kumar Agrawal(co-director),Dirty
Karen Lynn Gorney,Carole Ruggier,Bubble
Marlies van Alcmaer,Jon Shenk,The War Tapes
Barbara Bach,Donnacha O'Briain,Love's Abiding Joy
Jim Dale,Shôgo Furuya(co-director),Broken Bridges
Madeline Kahn,John Sanford,Pyare Mohan
Richard Burton,J. Mackye Gruber,Iraq in Fragments
Strother Martin,Alec Berg(co-director),Black Gold
Don Knotts,Betsy Chasse,Unidentified
Sondra Locke,Guy A. Lepage,The Genius Club
John Beck,Ross Kauffman,Once in a Lifetime: The Extraordinary Story of the New York Cosmos
Tuesday Weld,Steven Foster,The Journals of Knud Rasmussen
Clifton James,Joe Fab,The Bridge
Art Vasil,Nick Day,Glastonbury
Marthe Keller,Michael Shoob,In the Pit
David Hemmings,Denis Mueller,Awesome; I Fuckin' Shot That!
Greg Felton,Julian Petrillo,Come Early Morning
Terence Hill,Tim Watkins(co-director),Broken Sky
Peter Firth,Dmitriy Troitskiy,Cocaine Cowboys
Scott Brown,Martin Kunert,2005 Academy Award Nominated Short Films
Stephen Furst,Oren Rudavsky,Jonestown: The Life and Death of Peoples Temple
Herbert Lom,Yan Vizinberg,A Soap
John Cazale,Jon Garaño,10th & Wolf
Tommy Chong,Tobias Perse,In Between Days
Irene Miracle,Mike Johnson,Opal Dream
William Squire,Todd Edwards(co-director),What the Bleep!?: Down the Rabbit Hole
Glenda Jackson,Paul Provenza,Lies and Alibis
Lee Grant,Jacques Martineau(co-director),Stolen
Rod Steiger,Dana Adam Shapiro,Karla
Barry Gibb,Dayna Goldfine,Flannel Pajamas
Kim Darby,Kevin Harrison,Al Franken: God Spoke
Christopher Lee,Vinay Sapru,Mini's First Time
Annie Potts,Rachel Grady,Absolute Wilson
Don Stroud,Konda Mason,Anthony Kaun Hai?
Timothy Bottoms,Nancy Stern,America: Freedom to Fascism
Shelley Winters,Satchit Puranik,Color of the Cross
Lee Canalito,Garrett Scott,Mannat
Michael Sarrazin,Franny Armstrong,Unconscious
Deborah Benson,U. Roberto Romano(co-director),D' Lucky Ones!
Bobby Di Cicco,Joe Ranft(co-director),Vajra Sky Over Tibet
Kathleen Lloyd,Warren Coleman(co-director),Pyaar Ke Side Effects
James Andronica,Valerie Faris,Kalamazoo?
Lois Chiles,Jason Friedberg(co-director),Close to You
Ned Beatty,Espen Sandberg,Screamers
Leonard Nimoy,Christopher Reeve,The Strange Case of Dr. Jekyll and Mr. Hyde
Frank Oz,Peter Djigirr,The Motel
Harvey Atkin,Xavier Palud,Two Weeks
Patrick McGoohan,Kookie Gulati,Khosla Ka Ghosla!
Art Carney,Jerry Rothwell,Rape of the Soul
Mac Davis,Kookie Vikas Gulati,Eating Out 2: Sloppy Seconds
Erin Gray,Nick Francis,Monkey Warfare
Bo Hopkins,John Dower(co-director),Paper Dolls
Jim Bray,Zacharias Kunuk,Been Rich All My Life
Susan Blakely,Kurt Mattila,Can Mr. Smith Get to Washington Anymore?
Bill Thornbury,Jim Schermbeck,My Country
Stephen Collins,Mary Feuer,Standing Still
Natalie Wood,Chris Sheridan,Boys Briefs 4
Lynne Frederick,Gregory M. Davis(co-director),Who Gets to Call It Art?
Fred Willard,Brian James Egen,Abduction: The Megumi Yokota Story
Dean Paul Martin,Antonio Frazzi,Fuck
Lisa Eichhorn,Jeanne Jordan,Wrestling with Angels: Playwright Tony Kushner
Jeremy Levy,Bx Giongrete,Off the Black
Sarah Holcomb,Cheri Pugh,Islam: What the West Needs to Know
Janet Margolin,Matthew Galkin(co-director),Ambrose Bierce: Civil War Stories
James Coburn,Oreet Rees(co-director),Falcone
James Mason,Jon Fine,So Much So Fast
John Huston,Raman Hui(co-director),The Ground Truth
Susan Clark,Jan Pinkava(co-director),Invisible Waves
Brenda Vaccaro,Will Speck,Suicide Killers
Joop Doderer,Greg Strause,Ever Again
Monica Vitti,Wai Man Yip(co-director),Matthew Barney: No Restraint
Gerald Walling,Marjane Satrapi,Land of the Blind
Shelley Duvall,Amole Gupte,Name
Adrienne King,Kazuya Tsurumaki,The Architect
Yaphet Kotto,Dave Willis,Who the #$&% Is Jackson Pollock?
Angie Dickinson,Sarah Robertson,I Trust You to Kill Me
Melody Anderson,Macario De Souza(co-director),Christmas at Maxwell's
Gene Kelly,Dan Sturman,Autumn
Adam Baldwin,John Stronach,Waltzing Anna
Irene Cara,Nadia Conners,Live Freaky Die Freaky
Blair Brown,Etgar Keret,The Conrad Boys
Paul Sorvino,Fisher Stevens(co-director),Forgiving Dr. Mengele
Karen Carlson,Andrea Nix,...So Goes the Nation
Eli Wallach,Anne Sundberg,Zindaggi Rocks
Anne Archer,Stefan C. Schaefer,Sólo con Tu Pareja
David Warner,Troy Christian(co-director),Illusion
Suzanne Pleshette,Steve Connors,Kill Your Idols
Laraine Newman,Orson Cummings,loudQUIETloud: A Film About the Pixies
Steve Ballard,Rex Piano(co-director),Kettle of Fish
Jane Seymour,Kent Llewellyn,Saint of 9/11
José Ferrer,Niva Dorell,Sorry
Susannah York,Kyle LaBrache,Dreamland
Jane Curtin,Judith Helfand,Pizza
Cherie Currie,Will Thompson,Unnatural & Accidental
Chuck Barris,Neil Ortenberg,Room
Paul Linke,Loveleen Tandan(co-director),King Leopold's Ghost
Jocelyn Brown,Chris Williams,Coffee Date
Caitlin O'Heaney,Robert Stevenhagen,Psychopathia Sexualis
Kaki Hunter,Hayden Schlossberg,Shock to the System
Tony Knesich,Mimi Maynard,Dog Lover's Symphony
Tsutomu Yamazaki,Damien Sung,Out of Place: Memories of Edward Said
Jill Eikenberry,Panna Rittikrai,Herbie Hancock: Possibilities
Debra Clinger,Gary Hartle,Rank
Tovah Feldshuh,Jason Maurer,Mirage
Paula Prentiss,Tia Lessin,George Bush Goes to Heaven
Don Novello,Benjamin Johnson,The Surfer King
Joe Cortese,Dan Berger,Abominable
Scott Beach,Mark Duplass,The Colour of Olives
George De La Pena,Amei Wallach,The Empire in Africa
Glynnis O'Connor,Danny Jacobs,In Her Line of Fire
Linda Purl,Ayat Najafi,Issues
Susan Hogan,Joshua Leonard(co-director),Uncut
Hazel O'Connor,Andrew Jacobson,Serum
Henry Fonda,R.R. Gee,Zyzzyx Rd
Harold Ramis,Jenny Phillips,Pirates of the Caribbean: At World's End
Nigel Havers,Penny Peyser,Harry Potter and the Order of the Phoenix
Carole Bouquet,Amar Singh Kaleka,Spider-Man 3
Claire Bloom,Frederico Serra,Shrek the Third
Vittorio Gassman,Christian Matzke,Transformers
Martin Hewitt,Jeff Werner(co-director),Ratatouille
Cicely Tyson,Perry Moore,I Am Legend
Kathryn Walker,Gianluca Sodaro,The Simpsons Movie
Howard Hesseman,Nancy Kennedy(co-director),National Treasure: Book of Secrets
Patti D'Arbanville,Mike Thurmeier(co-director),300
Ed Moore,Conrad Vernon,The Bourne Ultimatum
Lee Van Cleef,Javier Abad(co-director),Live Free or Die Hard
Melvyn Douglas,Thomas Guard,The Golden Compass
John Furey,Matthew Robinson,Alvin and the Chipmunks
Rossano Brazzi,Àlex Pastor,Enchanted
Billy Dee Williams,Trevor Moore,Ocean's Thirteen
Diana Scarwid,Nora Twomey(co-director),Fantastic 4: Rise of the Silver Surfer
Patrick Macnee,Vincent Patar,Bee Movie
Stephen MacKenna,Rainer Frimmel,American Gangster
Candice Bergen,Mike Bonanno,Rush Hour 3
Stephen Lack,Jessica Woodworth,Wild Hogs
Caitlin Clarke,Justin Schein,Juno
Michael Horse,Jeff Sherman,Mr. Bean's Holiday
Diane Venora,Sarah Kunstler,Ghost Rider
Shawn Carson,Nathan Miller,Knocked Up
Vicki Frederick,Fred M. Caruso,Beowulf
Bill Kerr,Samuel Oldham,I Now Pronounce You Chuck & Larry
Lori Hallier,Paul Hawley,The Bucket List
Jessica Walter,Ben Gluck,Evan Almighty
Matthew Goldsby,Pascal Vuong,No Country for Old Men
Howie Mandel,Mahmood Farooqui(co-director),Superbad
Andrea Marcovicci,Svyatoslav Ushakov,Meet the Robinsons
Paul Boensch III,Ariel Schulman,Norbit
Paul Jabara,Björn Stein,P.S. I Love You
Joseph Bottoms,Anne Sundberg(co-director),Sweeney Todd: The Demon Barber of Fleet Street
Krystyna Janda,Patrick Doughtie(co-director),Surf's Up
Twyla-Dawn Vokins,Javier Mariscal,The Game Plan
Henry Thomas,Alain Gagnol,Resident Evil: Extinction
Richard Crenna,Andrew Gurland,Music and Lyrics
Rohini Hattangadi,Dmitry Vasyukov,Blades of Glory
Freddie Jones,Johannes Stjärne Nilsson,Saw IV
Kathryn Mullen,Karen Harley(co-director),Bridge to Terabithia
Kathleen Beller,Diego Vega Vidal,Stardust
None,David Heilbroner,1408
Richard Brooker,Florent de La Tullaye,Atonement
Bruce Boxleitner,Steven Greenstreet(co-director),Aliens vs. Predator: Requiem
Christine Hargreaves,Johnny O'Hara,The Heartbreak Kid
Mike Bacarella,Gail O'Hara,Charlie Wilson's War
Jean-Jacques Annaud,Tenzing Sonam,Disturbia
Terence Donovan,Michael Zimbalist,The Water Horse
Mark Linn-Baker,E. Raymond Brown(co-director),Hitman
Wilford Brimley,Bradford Lewis(co-director),Fred Claus
Margaux Hemingway,Éric Toledano,TMNT
Jill Ireland,Gary Eck(co-director),Shooter
Elizabeth Hartman,Barry Cook(co-director),Michael Clayton
Stacey Nelkin,John Requa,No Reservations
Gary Swanson,Jianxin Huang(co-director),Fracture
Kate Jackson,Alastair Fothergill(co-director),Epic Movie
Donovan Scott,Jennifer Arnold,La Vie En Rose
Michael Lerner,Akshat Verma,Zodiac
R.H. Thomson,Stéphane Foenkinos,Premonition
Bibi Besch,Jackie Chan,Hannibal Rising
Jim Metzler,Peter Huyck,Hot Fuzz
Mary Louise Weller,Muriel Coulin,The Orphanage
Alberta Watson,Wing Shya,The Number 23
Colin Blakely,Philip Shane,Next
Sammy Davis Jr.,Jon Erwin,There Will Be Blood
Kyle Eastwood,Ágnes Hranitzky(co-director),Elizabeth: The Golden Age
Bess Armstrong,Bill Jersey,30 Days of Night
George Grizzard,Fiona Gordon,Stomp the Yard
Patti LuPone,Mark Kassen,Dragon Wars: D-War
Glynn Turman,Kathrin Resetarits(co-director),The Kite Runner
Toshirô Mifune,Michael Parfit,Perfect Stranger
Michael Morgan,Sam Cullman(co-director),License to Wed
Rip Torn,Brian McGinn(co-director),3:10 to Yuma
Barbara Carrera,Steve Mims(co-director),The Brave One
Zeljko Ivanek,Suki Hawley(co-director),Because I Said So
Susan George,Joan Churchill,Mr. Magorium's Wonder Emporium
Nicol Williamson,Bill Weber(co-director),Dan in Real Life
Betsy Brantley,Kyle Balda(co-director),Lust
Griffin O'Neal,Jeff Newitt(co-director),August Rush
Lennie Weinrib,John Sullivan,Underdog
Christa Lang,Steve Saint Leger,28 Weeks Later
Ornella Muti,Jane Lipsitz,Lions for Lambs
Michael Nouri,Matthieu Delaporte,The Reaping
Maud Adams,Lee Sternthal,Good Luck Chuck
Cynthia Rhodes,Nick Ormerod,Are We Done Yet?
Warren Oates,Aleksandr Dulerayn,The Mist
Mandy Patinkin,Jeremy Rawle,Smokin' Aces
Vera Miles,Kevin McAfee,Into the Wild
Wyatt Knight,Seth Barrish(co-director),Eastern Promises
Robert Stack,David Bruckner,Why Did I Get Married?
Perry Lang,Judith Kaufmann(co-director),We Own the Night
Danny Pintauro,Jean-Jacques Mantello(co-director),The Messengers
Valérie Kaprisky,Zak Knutson,Sea Monsters: A Prehistoric Adventure
Darren McGavin,Kevin Hanlon,This Christmas
Lysette Anthony,Dylan Southern,Mr. Brooks
Keith Vitali,Christopher Nelius,The Nanny Diaries
Estelle Reiner,Banafsheh Violet Modaressi,Death at a Funeral
Barbi Benton,Andy Baybutt(co-director),Freedom Writers
Robert Prosky,Sarah Burns,The Warlords
Brad Harris,Eric Wareheim,Balls of Fury
Judd Hirsch,Phillip Ellering(co-director),Breach
Reni Santoni,Jeff Dupre(co-director),The Invasion
Tess Harper,Ari Daniel Pinchot,Om Shanti Om
Lisa Eilbacher,Eduardo Lopez,The Hills Have Eyes 2
Ewa Fröling,Jeff Simpson,Becoming Jane
Joe Lambie,Ellen Spiro,Sicko
John Vernon,Jessica Wolfson,Hostel: Part II
Jerry Reed,Turner Ross,Vacancy
Lesley Ann Warren,Maurice Sparks,The Darjeeling Limited
Michael Preston,Jason Tippet,Gone Baby Gone
Robert Wagner,Amber Bemak,Mr. Woodcock
David Wysocki,Malika Zouhali-Worrall,Awake
Leif Green,Julia Halperin,88 Minutes
Pat Hingle,Kenneth Chamitoff,Alpha Dog
Corinne Cléry,Andre Costantini,Amazing Grace
Jeffrey Tambor,Jennifer Lee,The Seeker: The Dark Is Rising
Carlene Watkins,Kris Pearn,Daddy's Little Girls
Sonja Smits,Chi-Kin Kwok(co-director),Love in the Time of Cholera
Kent Deuters,Seth Rogen,Pathfinder
Ron Karabatsos,Scott Moore,Nancy Drew
Andrea Savio,Jim Rash,The Great Debaters
Jane Hallaren,Franck Magnier,In the Valley of Elah
Lloyd Bochner,Jules Naudet,Across the Universe
Jennifer Dale,George D. Escobar(co-director),The Last Mimzy
Heather Kennedy,Hajime Katoki,Shoot 'Em Up
Cynthia Leake,Raj Nidimoru,Rendition
Michael Wright,Ron Frank,The Invisible
Gregory Salata,Warwick Ross,Mongol: The Rise of Genghis Khan
John Louie,Michele Stephenson,Bratz
Kim Cattrall,Jessie Deeter,Grindhouse
Apollonia Kotero,David A. Stewart,The Last Legion
Adolfo Quinones,Simon Groß,Before the Devil Knows You're Dead
Tawny Kitaen,Vincent Vittorio,Georgia Rule
Peter Barton,Mandy Jacobson,Guru
Leonardo Cimino,Bassam Tariq,Partner
Dan Mason,Ben Mozer,Persepolis
Victor Banerjee,Robert C. Banks,Cassandra's Dream
Ronee Blakley,David Graham Scott,Dead Silence
Justin Henry,Andrew Matthews,Reign Over Me
M. Emmet Walsh,Scott Rutherford,Waitress
Adolph Caesar,Thomas Lennon,Reno 911!: Miami
Ted Wass,Joe Tyler Gold(co-director),My Blueberry Nights
Peter Ellenstein,Noah Miller,Like Stars on Earth
Lucy Gutteridge,Jane Wells,Chak de! India
Patrick Houser,Michael Goetz,Penelope
Gerald McRaney,André Freitas,Once
Joseph Bologna,Anthony Stacchi,Walk Hard: The Dewey Cox Story
Susan Tyrrell,Baimei Yu,Evening
Joe Piscopo,Buniu Zhang(co-director),The Diving Bell and the Butterfly
Guy Davis,Tyler Gillett,2 Days in Paris
Mary Crosby,Daniel St. Pierre,Bhool Bhulaiyaa
Theresa Saldana,Don Spencer,A Mighty Heart
Jennifer Runyon,Peter Spierig,The Counterfeiters
Janet Eilber,Christian Duurvoort(co-director),Saawariya
Ilan Mitchell-Smith,Jay Lavender,Daddy Day Camp
Lorna Luft,Jane Pollard,The Edge of Heaven
Barbara Williams,Lisa Leeman,In the Land of Women
Yorgo Voyagis,Shlomi Elkabetz,Firehouse Dog
Teal Roberts,Martha Stephens,Death Sentence
Michael Winslow,Ray Quint,A Secret
Hamilton Camp,Christian Tureaud,Evangelion: 1.0 You Are (Not) Alone
Alex Weir,Jennifer Grausman,Primeval
Jonna Lee,Jane Lipsitz(co-director),Namastey London
Kimberly Stringer,David Posamentier,Ta Ra Rum Pum
Michelle Meyrink,Tracy Droz Tragos(co-director),The Assassination of Jesse James by the Coward Robert Ford
Rosanna Carter,Andrew Loo,The Secret of the Grain
Gordon Hunt,Bruno Lemos(co-director),Katyn
Luke Askew,Rebecca Harrell Tickell,Elite Squad
Gilmer McCormick,Gregg Bishop,The Band's Visit
Eszter Balint,Kyle Saylors,Hot Rod
Michel Aumont,Guido Santi(co-director),Caramel
Cheryl Ladd,Steve Jamison,Heyy Babyy
Mark Keyloun,Bill Thomas,Sydney White
Eleanor David,John Errington(co-director),The Comebacks
Warren Lincoln,Tom Williams,I Think I Love My Wife
Ron Travis,Kirsten Kelly,In the Name of the King: A Dungeon Siege Tale
Jason Presson,Christo Brock,My Brother Is an Only Child
Gregory Jones,Judah Lazarus(co-director),Salaam-E-Ishq
Arkie Whiteley,Jason Sussberg,Bella
Nick Mancuso,Julian Barratt,Jhoom Barabar Jhoom
Sean Daniel,Timo Tjahjanto,I'm Not There
Paul Gleason,Jason Marsden,Lars and the Real Girl
Kelly LeBrock,Ricardo Ramón,Genghis Khan: To the Ends of the Earth and Sea
Bruce Spence,Ronnie Del Carmen(co-director),Dhamaal
James Hampton,Fei Yan,Captivity
Vanity,Jonathan Goldstein,Molière
William Ragsdale,Richard Starzak,The Savages
Karen Austin,Tianyu Zhao,Irina Palm
Meg Foster,Ayman Jamal,Code Name: The Cleaner
Jackie Burroughs,Chris Lofing,4 Months
Suzanne Bateman,Rodolfo Riva Palacio Alatriste,I Know Who Killed Me
Susan Sheridan,Jon Freeman,I Could Never Be Your Woman
Henry Silva,Elizabeth Chai Vasarhelyi,Laaga Chunari Mein Daag: Journey of a Woman
Alan Cox,Kazuya Nomura,Martian Child
Daphne Zuniga,Stephen Blair,Shootout at Lokhandwala
Richard Lynch,Jarrad Paul,Cheeni Kum
Deborah Raffin,Franck Ekinci,Delta Farce
Yamil Borges,Takashi Nakamura,Eklavya: The Royal Guard
Gerard Christopher,Axelle Carolyn,The Condemned
Gary Basaraba,Stephanie Sheh,Things We Lost in the Fire
Gabriel Jarret,Ross Shuman,A Girl Cut in Two
Alma Beltran,Kevin Hench,Lucky You
Everett McGill,Alec Mouhibian,Bordertown
Clayton Rohner,Gurmeet Ram Rahim Singh,Redline
Joseph Simmons,Anouk Whissell,This Is England
Soon-Tek Oh,Evan Johnson(co-director),Control
Steve James,John McKenna,Bug
David Ogden Stiers,Christopher K. Walker,Counter Investigation
Kim Richards,Jason Silverman,Silk
Brad Williams,Scott Christopherson,El cantante
Lori Loughlin,Sheena M. Joyce,Goal II: Living the Dream
Melendy Britt,Martin Reinhart,The Hunting Party
Stacey Pickren,Kathleen Hughes(co-director),Cash
Brigitte Nielsen,Iain Kennedy(co-director),Dhan Dhana Dhan Goal
Kristi Somers,Mick Partridge,Rescue Dawn
André Maranne,Chris Blaine,The Jane Austen Book Club
Tetchie Agbayani,Angus MacLane(co-director),The Flock
Edward Woodward,Yarrow Cheney(co-director),Pride
Terry Alexander,Christophe Lourdelet(co-director),Days and Clouds
Pat Fraley,Galen T. Chu(co-director),Ladrón que roba a ladrón
Ray Bolger,Fergal Reilly,Aaja Nachle
Danielle von Zerneck,Walt Dohrn(co-director),Midnight Eagle
Ken Tanaka,Doug Sweetland,Feel the Noise
Carmen Argenziano,Kim-Ching Luk,Goodbye Bafana
Sheree J. Wilson,Éric Warin,Life in a Metro
Don Franklin,Shinji Higuchi(co-director),Blood and Chocolate
Alison Routledge,Shen Zhou,Flash Point
Bruce Abbott,Laura Obiols,The Perfect Holiday
Gil Friesen,Jericca Cleland(co-director),Feast of Love
David Marshall Grant,Bruce Schooley,Who's Your Caddy?
Rachel McLish,Maksim Volkov,The Contract
Gabrielle Lazure,Fabio Resinaro,Aqua Teen Hunger Force Colon Movie Film for Theaters
Masayuki Shionoya,Elyse Steinberg,The Lookout
Jimmy Nail,Angelin Preljocaj,Whisper
Anthony Andrews,Dylan Reeve,The Grocer's Son
Melissa Gilbert,Taggart Siegel(co-director),Shrooms
Norma Aleandro,Robert Cannan,Sleuth
Predrag 'Miki' Manojlovic,Robert Mrazek,Roman de gare
Hans Christian Blech,Colin MacCabe,Talk to Me
Linda Kozlowski,Sam Dunn(co-director),Kickin' It Old Skool
Carrie Henn,David Ambrose(co-director),Rogue
Sally Kellerman,Andrew Young,Paranoid Park
Nehemiah Persoff,Cynthia Wade(co-director),Gracie
Alan Ruck,Matthew Miele(co-director),Brick Lane
Jeffrey Jones,Matt Villines,Nitro
Gedde Watanabe,Mathew Orzel,You Kill Me
Swoosie Kurtz,Ian Markiewicz,Dus Kahaniyaan
Barrie Ingham,Jordan Freeman(co-director),Days of Darkness
Jennifer Cooke,Tim Gallagher,Resurrecting the Champ
Wendy Martel,Adrian Molina(co-director),Mother of Tears
Debbie Allen,Paul Fisher,Illegal Tender
Eugene Levy,Jing Wong,The Witnesses
Linda Warren,Hugh Welchman,Love Songs
Pat Barlow,Giles New,Shall We Kiss?
Jerome Benton,Enrique Gato(co-director),Margot at the Wedding
Kathleen Wilhoite,Nobuyuki Takeuchi(co-director),Rise: Blood Hunter
Kim Greist,Anthony Pun,My Daughter
Chris Wiggins,Lixin Fan,When Did You Last See Your Father?
Kerri Green,Eduardo Schuldt,Ben X
