Title,Actors,Director
Jonathan Pryce,Gavin Millar,Terms of Endearment
Ethan Hawke,George Butler,Flashdance
Meredith Salenger,Jonathan Sanger,Trading Places
James Spader,Luc Besson,Jaws 3-D
Jessica Lange,William Asher,WarGames
Doug McKeon,Freddie Francis,Octopussy
Mary Beth Hurt,Adam Brooks,Sudden Impact
John Erwin,Kevin Reynolds,Scarface
Jeff Goldblum,Peter R. Hunt,Staying Alive
Geraldine Page,Luis Puenzo,Mr. Mom
Jimmy Keegan,Joyce Chopra,Risky Business
Biff Yeager,Emir Kusturica,Vacation
Kurt Thomas,István Szabó,Superman III
Lori Cardille,Peter Faiman,The Big Chill
Bettina Bush,Howard Deutch,Never Say Never Again
John Stockwell,Edward Zwick,Blue Thunder
Raymond Burr,Randa Haines,Yentl
Lewis Smith,Penny Marshall,Silkwood
Sting,David Anspaugh,Psycho II
Joe Colligan,Ron Clements,Porky's II: The Next Day
Stephen Geoffreys,Tom McLoughlin,Uncommon Valor
Helen Slater,Carol Frank,Never Cry Wolf
Mario Van Peebles,Menahem Golan,Twilight Zone: The Movie
John Scott Clough,Shigeru Miyamoto,Easy Money
Glenn Close,Anthony Perkins,High Road to China
Miranda Richardson,Stephen Herek,The Outsiders
Bruno Lawrence,Richard Pearce,Spring Break
Jeffrey Combs,Gene Saks,Two of a Kind
Miles A. Copeland III,Prince,My Tutor
Kevin Costner,Harry Winer,Class
Vanessa Redgrave,Dale Schott,The Right Stuff
Coral Browne,David Seltzer,Cujo
Bev Francis,Thomas Michael Donnelly,Christine
Ed Harris,Stephen King,The Dead Zone
Ken Ogata,Kevin Tenney,Breathless
Joanne Pearce,Jean-Jacques Annaud,A Christmas Story
Isabelle Adjani,Spike Lee,Max Dugan Returns
Richard Farnsworth,Michelle Manning,Valley Girl
Rob Morrow,Charles Martin Smith,All the Right Moves
Shannon Presby,Harley Cokeliss,Krull
Timothy Dalton,Allan Burns,Spacehunter: Adventures in the Forbidden Zone
Brooke Adams,Mike Joens,Richard Pryor... Here and Now
Héctor Alterio,Nelson Shin,D.C. Cab
Moreno D'E Bartolli,Robert Harmon,Gorky Park
Klaus Maria Brandauer,Neil Jordan,Still Smokin
Paul Hogan,John Carl Buechler,The Meaning of Life
Keith David,Richard Wenk,Educating Rita
Sigourney Weaver,Paul Michael Glaser,Private School
Pat Morita,David Beaird,The Survivors
Erica Yohn,Corey Yuen,Revenge of the Ninja
J.L. Reate,Duncan Gibbins,To Be or Not to Be
Danny DeVito,Peter Manoogian,Stroker Ace
Wil Wheaton,Daryl Duke,Lone Wolf McQuade
Kathleen Turner,Mike Marvin,The Black Stallion Returns
Ally Sheedy,Renny Harlin,Deathstalker
Levi Stubbs,Jeffrey Delman,Zelig
Gregory Hines,Bob Weinstein,The Lords of Discipline
Lea Thompson,Bruno Bianchi,The Man Who Loved Women
Barbara Hershey,Peter Medak,Hercules
Whoopi Goldberg,Joe Roth,Doctor Detroit
Vincent Price,David Byrne,Deal of the Century
Louis Gossett Jr.,Tom DeSimone,The Man with Two Brains
Thom Mathews,Gideon Amir,Brainstorm
Angela O'Neill,Jim Goddard,Lovesick
Joey Cramer,Zoran Perisic,Without a Trace
Jay Baker,John McTiernan,Bad Boys
Jonathan Silverman,Jean-Jacques Beineix,Strange Brew
Kate Capshaw,Andrew Lane,Tender Mercies
Matthew Labyorteaux,Denys Arcand,Something Wicked This Way Comes
Isabella Rossellini,Clay Borris,10 to Midnight
Hadley Kay,Roman Polanski,Romantic Comedy
